X,Y,id,name
65.6792126077796,64.9918357743349,,Обь-Лопхари
65.2623081387403,65.0557948962053,,Горки
65.0537085649698,64.8917706998661,,Азовы
63.9638430160221,64.8247313697096,,Овгорт
64.7125586014148,65.3946087201699,,Мужи
65.3541483484952,65.8952404817478,,Шурышкары
65.8971451757261,65.8392879494117,,Питляр
65.7426338834246,66.1333192338204,,Обь-Питляр
66.0943310154251,66.3160398137127,,Катравож
66.1576070684629,66.313675288738,,Обь-Катравож
66.5519787478609,66.5572267302923,,Салехард
66.5137188088148,66.6332155788216,,Лабытнанги
67.2583160840962,66.5905735829639,,Харсайм
67.81014212803,66.5665917728311,,Аксарка
68.1603677239134,66.8123235998568,,Белоярск
67.4231281292178,66.6647117835707,,Обь-Белоярск
69.1830853253374,66.7444390719097,,Салемал
68.6474461786923,66.7380471207181,,Обь-Белоярск 2
70.0792508206859,66.7415338452181,,Панаевск
70.3853303330546,66.3349480069483,,Кутопьюган
70.1778437405355,66.4339827983662,,Обь-Кутопьюган
70.8452965852521,66.8037611392127,,Яр-Сале
70.2733519710279,66.6527468539877,,Обь-Яр-Сале
72.8791874329079,66.6427937813907,,Ныда
71.5985894917913,66.8619348228286,,Обь-Яр-Сале-2
72.9628866447455,67.6726105747339,,Новый Порт
72.1482143161921,66.6361561745926,,Обь-Ныда
73.6185304708074,68.4521892592993,,Мыс Каменный
77.5321665028672,67.7162530809456,,Находка
76.740769763812,69.0848446849459,,Антипаюта
74.0820905228029,68.8546760843352,,Обь-Антипаюта
64.8085274370576,65.2276997466947,,Обь-Мужи
68.6610440590183,67.2396407373203,,Щучье
67.5378186492957,66.328833770337,,Зеленый Яр
78.2014766316003,66.9844166243083,,Самбург
71.2833024732063,66.8904430246002,,SunaySale
72.1074610090819,66.2394337290822,,Нори
72.4862487045813,70.151911864376,,Се-Яха
72.9956945081713,70.1483079910679,,Обь-Се-Яха
64.6024027503205,65.5776826087202,,Восяхово
64.6695186696067,65.5085636242293,,Обь-Восяхово
65.7609687563816,64.9791064133084,,Лопхари
